age,year,Dx,sex,country,Nx,Mx
0,1982,0,m,Argentina,341253,0
1,1982,0,m,Argentina,340065,0
2,1982,0,m,Argentina,339678,0
3,1982,0,m,Argentina,337909,0
4,1982,0,m,Argentina,333681,0
5,1982,0,m,Argentina,325909,0
6,1982,0,m,Argentina,315925,0
7,1982,0,m,Argentina,306005,0
8,1982,0,m,Argentina,295481,0
9,1982,1,m,Argentina,284980,0.35090181767141554
10,1982,1,m,Argentina,276092,0.36219810787708445
11,1982,2,m,Argentina,267481,0.7477166602487654
12,1982,2,m,Argentina,259615,0.7703715116614988
13,1982,3,m,Argentina,252795,1.1867323325223995
14,1982,5,m,Argentina,246241,2.030531065094765
15,1982,6,m,Argentina,240817,2.491518455922962
16,1982,8,m,Argentina,238149,3.359241483273077
17,1982,10,m,Argentina,238784,4.187885285446261
18,1982,12,m,Argentina,239320,5.014206919605549
19,1982,14,m,Argentina,238063,5.880796259813579
20,1982,16,m,Argentina,235559,6.7923535080383255
21,1982,17,m,Argentina,233273,7.287598650508203
22,1982,18,m,Argentina,231595,7.772188518750405
23,1982,19,m,Argentina,227942,8.335453755779978
24,1982,20,m,Argentina,225562,8.866741738413385
25,1982,20,m,Argentina,225120,8.884150675195452
26,1982,20,m,Argentina,223095,8.964790784195074
27,1982,19,m,Argentina,220618,8.612171264357396
28,1982,19,m,Argentina,218488,8.696129764563729
29,1982,19,m,Argentina,216118,8.7914935359387
30,1982,19,m,Argentina,213049,8.918136203408606
31,1982,19,m,Argentina,209438,9.071897172432891
32,1982,19,m,Argentina,205332,9.253306839654803
33,1982,19,m,Argentina,202274,9.393199323689648
34,1982,19,m,Argentina,199288,9.533940829352495
35,1982,19,m,Argentina,194341,9.776629738449426
36,1982,19,m,Argentina,188787,10.064252305508324
37,1982,19,m,Argentina,183437,10.357779510131543
38,1982,20,m,Argentina,178320,11.215791834903545
39,1982,20,m,Argentina,173494,11.527776176697753
40,1982,20,m,Argentina,168946,11.838102115468848
41,1982,20,m,Argentina,164675,12.145134355548809
42,1982,20,m,Argentina,160709,12.444853741856399
43,1982,20,m,Argentina,157063,12.733743784341316
44,1982,20,m,Argentina,154148,12.974543944780342
45,1982,20,m,Argentina,152172,13.143022369424072
46,1982,20,m,Argentina,150659,13.275011781572957
47,1982,20,m,Argentina,149032,13.419936657898974
48,1982,21,m,Argentina,147327,14.254006393940012
49,1982,21,m,Argentina,145715,14.411694060323233
50,1982,21,m,Argentina,144012,14.582118156820265
51,1982,22,m,Argentina,142163,15.475193967488025
52,1982,22,m,Argentina,140260,15.685156138599742
53,1982,23,m,Argentina,138351,16.62438291013437
54,1982,24,m,Argentina,135869,17.66407348254569
55,1982,24,m,Argentina,132409,18.125656110989436
56,1982,25,m,Argentina,128339,19.479659339717468
57,1982,26,m,Argentina,124264,20.923195776733408
58,1982,26,m,Argentina,120225,21.626117695986693
59,1982,27,m,Argentina,115746,23.326940023845317
60,1982,28,m,Argentina,110816,25.267109442679757
61,1982,28,m,Argentina,105731,26.482299420226802
62,1982,28,m,Argentina,100683,27.810057308582383
63,1982,27,m,Argentina,95522,28.26573982956806
64,1982,27,m,Argentina,90744,29.754033324517323
65,1982,25,m,Argentina,86843,28.787582188547148
66,1982,24,m,Argentina,83228,28.836449271879655
67,1982,23,m,Argentina,79188,29.044804768399253
68,1982,22,m,Argentina,74897,29.373673177830888
69,1982,21,m,Argentina,70520,29.778786159954624
70,1982,20,m,Argentina,65828,30.38220817889044
71,1982,20,m,Argentina,61008,32.78258589037503
72,1982,20,m,Argentina,56327,35.506950485557546
73,1982,21,m,Argentina,51795,40.5444540978859
74,1982,21,m,Argentina,47319,44.379636086984085
75,1982,21,m,Argentina,42899,48.952190027739576
76,1982,20,m,Argentina,38538,51.89682910374176
77,1982,19,m,Argentina,34236,55.49713751606496
78,1982,17,m,Argentina,30015,56.638347492920204
79,1982,15,m,Argentina,25815,58.10575246949448
80,1982,13,m,Argentina,21677,59.97139825621627
81,1982,11,m,Argentina,17823,61.71800482522583
82,1982,9,m,Argentina,14421,62.40898689411275
83,1982,8,m,Argentina,11470,69.74716652136007
84,1982,7,m,Argentina,8986,77.89895392833296
85,1982,7,m,Argentina,6966,100.48808498420901
86,1982,7,m,Argentina,5331,131.30744700806602
87,1982,6,m,Argentina,4005,149.81273408239701
88,1982,4,m,Argentina,2950,135.59322033898306
89,1982,2,m,Argentina,2129,93.94081728511038
90,1982,0,m,Argentina,1498,0
0,1983,0,m,Argentina,340197,0
1,1983,0,m,Argentina,339334,0
2,1983,0,m,Argentina,339673,0
3,1983,0,m,Argentina,339405,0
4,1983,0,m,Argentina,337720,0
5,1983,0,m,Argentina,333550,0
6,1983,0,m,Argentina,325814,0
7,1983,0,m,Argentina,315853,0
8,1983,0,m,Argentina,305943,0
9,1983,0,m,Argentina,295421,0
10,1983,1,m,Argentina,284921,0.3509744806455123
11,1983,1,m,Argentina,276034,0.36227421259699893
12,1983,2,m,Argentina,267428,0.7478648458650553
13,1983,3,m,Argentina,259577,1.1557264318487386
14,1983,4,m,Argentina,252790,1.5823410736184185
15,1983,6,m,Argentina,246282,2.436231636904037
16,1983,8,m,Argentina,240917,3.3206456995562785
17,1983,10,m,Argentina,238313,4.19616219006097
18,1983,13,m,Argentina,239010,5.4391029664030794
19,1983,15,m,Argentina,239603,6.26035567167356
20,1983,18,m,Argentina,238399,7.550367241473328
21,1983,20,m,Argentina,235936,8.476875084768752
22,1983,21,m,Argentina,233678,8.986725322880202
23,1983,21,m,Argentina,232011,9.051294981703453
24,1983,21,m,Argentina,228357,9.196127116751402
25,1983,21,m,Argentina,225958,9.293762557643456
26,1983,20,m,Argentina,225482,8.869887618523872
27,1983,19,m,Argentina,223417,8.504276756021252
28,1983,19,m,Argentina,220896,8.601332753875127
29,1983,18,m,Argentina,218717,8.229812954640014
30,1983,18,m,Argentina,216298,8.321852259382888
31,1983,18,m,Argentina,213178,8.443648031222734
32,1983,18,m,Argentina,209513,8.59135232658594
33,1983,18,m,Argentina,205354,8.765351539293123
34,1983,18,m,Argentina,202237,8.900448483709708
35,1983,18,m,Argentina,199188,9.036688957166094
36,1983,19,m,Argentina,194180,9.784735812133073
37,1983,19,m,Argentina,188565,10.076101079203458
38,1983,19,m,Argentina,183153,10.373840450333875
39,1983,20,m,Argentina,177971,11.237785931415793
40,1983,20,m,Argentina,173083,11.555149841405568
41,1983,20,m,Argentina,168470,11.871549830830414
42,1983,20,m,Argentina,164132,12.185314259254746
43,1983,21,m,Argentina,160099,13.116883928069507
44,1983,21,m,Argentina,156381,13.428741343257812
45,1983,21,m,Argentina,153387,13.69086037278257
46,1983,21,m,Argentina,151319,13.877966415321275
47,1983,21,m,Argentina,149705,14.027587588924886
48,1983,22,m,Argentina,147967,14.868180067177141
49,1983,22,m,Argentina,146141,15.05395474233788
50,1983,22,m,Argentina,144402,15.235246049223695
51,1983,23,m,Argentina,142567,16.132765647029117
52,1983,23,m,Argentina,140591,16.35951092175175
53,1983,24,m,Argentina,138566,17.320266154756577
54,1983,25,m,Argentina,136542,18.309384658200408
55,1983,25,m,Argentina,133950,18.66368047779022
56,1983,26,m,Argentina,130386,19.94079118923811
57,1983,26,m,Argentina,126204,20.601565718994642
58,1983,27,m,Argentina,121994,22.132236011607127
59,1983,27,m,Argentina,117796,22.920982036741485
60,1983,28,m,Argentina,113159,24.74394436147368
61,1983,28,m,Argentina,108098,25.902421876445448
62,1983,28,m,Argentina,102929,27.20321775204267
63,1983,28,m,Argentina,97855,28.61376526493281
64,1983,27,m,Argentina,92720,29.11993097497843
65,1983,27,m,Argentina,87981,30.68844409588434
66,1983,26,m,Argentina,84078,30.92366611955565
67,1983,25,m,Argentina,80407,31.091820363898666
68,1983,24,m,Argentina,76261,31.47086977616344
69,1983,24,m,Argentina,71800,33.42618384401114
70,1983,23,m,Argentina,67201,34.225681165458845
71,1983,23,m,Argentina,62279,36.93058655405514
72,1983,23,m,Argentina,57269,40.16134383348758
73,1983,23,m,Argentina,52462,43.84125652853494
74,1983,23,m,Argentina,47892,48.02472229182327
75,1983,22,m,Argentina,43438,50.64689902850039
76,1983,21,m,Argentina,39100,53.70843989769821
77,1983,20,m,Argentina,34831,57.42011426602739
78,1983,18,m,Argentina,30614,58.79662899327105
79,1983,16,m,Argentina,26474,60.436654831155096
80,1983,14,m,Argentina,22393,62.51953735542357
81,1983,12,m,Argentina,18501,64.86135884546782
82,1983,11,m,Argentina,14997,73.34800293392011
83,1983,10,m,Argentina,11957,83.633018315631
84,1983,9,m,Argentina,9366,96.09224855861628
85,1983,8,m,Argentina,7220,110.80332409972299
86,1983,8,m,Argentina,5503,145.3752498637107
87,1983,6,m,Argentina,4135,145.10278113663844
88,1983,4,m,Argentina,3047,131.27666557269444
89,1983,1,m,Argentina,2197,45.51661356395084
90,1983,0,m,Argentina,1551,0
0,1984,0,m,Argentina,340685,0
1,1984,0,m,Argentina,338486,0
2,1984,0,m,Argentina,339029,0
3,1984,0,m,Argentina,339468,0
4,1984,0,m,Argentina,339269,0
5,1984,0,m,Argentina,337630,0
6,1984,0,m,Argentina,333488,0
7,1984,0,m,Argentina,325767,0
8,1984,0,m,Argentina,315813,0
9,1984,0,m,Argentina,305902,0
10,1984,1,m,Argentina,295378,0.338549248759217
11,1984,1,m,Argentina,284877,0.35102868957479894
12,1984,2,m,Argentina,275997,0.7246455577415697
13,1984,3,m,Argentina,267414,1.1218559985640244
14,1984,4,m,Argentina,259610,1.5407726975078002
15,1984,6,m,Argentina,252886,2.3726105834249425
16,1984,8,m,Argentina,246458,3.2459891746261027
17,1984,11,m,Argentina,241184,4.5608332227676796
18,1984,13,m,Argentina,238669,5.446874122739024
19,1984,16,m,Argentina,239447,6.682063254081279
20,1984,19,m,Argentina,240112,7.912973945492103
21,1984,21,m,Argentina,238962,8.788008135184674
22,1984,22,m,Argentina,236537,9.300870476923272
23,1984,22,m,Argentina,234295,9.38987174288824
24,1984,22,m,Argentina,232625,9.457281031703385
25,1984,21,m,Argentina,228951,9.172268301951073
26,1984,20,m,Argentina,226516,8.829398364795424
27,1984,19,m,Argentina,225992,8.407377252292116
28,1984,18,m,Argentina,223873,8.040272833258141
29,1984,18,m,Argentina,221292,8.134049129656743
30,1984,17,m,Argentina,219050,7.760785208856426
31,1984,17,m,Argentina,216567,7.849764737933295
32,1984,17,m,Argentina,213381,7.9669698801674
33,1984,18,m,Argentina,209652,8.585656230324538
34,1984,18,m,Argentina,205425,8.762322015334064
35,1984,18,m,Argentina,202238,8.900404473936648
36,1984,19,m,Argentina,199117,9.542128497315648
37,1984,19,m,Argentina,194040,9.79179550608122
38,1984,19,m,Argentina,188357,10.08722797666134
39,1984,20,m,Argentina,182876,10.936372186618255
40,1984,20,m,Argentina,177627,11.259549505424287
41,1984,21,m,Argentina,172667,12.162138683129955
42,1984,21,m,Argentina,167987,12.500967336758201
43,1984,21,m,Argentina,163579,12.837833707260712
44,1984,21,m,Argentina,159474,13.16829075585989
45,1984,22,m,Argentina,155679,14.13164267499149
46,1984,22,m,Argentina,152599,14.416870359569852
47,1984,22,m,Argentina,150432,14.624547968517337
48,1984,22,m,Argentina,148702,14.794690051243427
49,1984,23,m,Argentina,146837,15.66362701498941
50,1984,23,m,Argentina,144875,15.875754961173426
51,1984,24,m,Argentina,142995,16.783803629497534
52,1984,24,m,Argentina,141022,17.01862120803846
53,1984,25,m,Argentina,138917,17.996357537234463
54,1984,25,m,Argentina,136774,18.27832775235059
55,1984,26,m,Argentina,134633,19.31175863272749
56,1984,26,m,Argentina,131926,19.70801813137668
57,1984,27,m,Argentina,128244,21.05361654346402
58,1984,27,m,Argentina,123930,21.78649237472767
59,1984,27,m,Argentina,119564,22.58204810812619
60,1984,28,m,Argentina,115198,24.305977534332193
61,1984,28,m,Argentina,110418,25.358184354000255
62,1984,28,m,Argentina,105263,26.60003990005985
63,1984,28,m,Argentina,100061,27.982930412448408
64,1984,28,m,Argentina,95001,29.473373964484583
65,1984,27,m,Argentina,89906,30.03136609347541
66,1984,27,m,Argentina,85186,31.695349001009557
67,1984,27,m,Argentina,81231,33.238541935960406
68,1984,26,m,Argentina,77436,33.57611446872256
69,1984,26,m,Argentina,73108,35.56382338458172
70,1984,25,m,Argentina,68424,36.53688764176312
71,1984,25,m,Argentina,63586,39.316830748906995
72,1984,25,m,Argentina,58472,42.75550690928991
73,1984,24,m,Argentina,53353,44.983412366689784
74,1984,24,m,Argentina,48523,49.46108031242916
75,1984,23,m,Argentina,43971,52.3072024743581
76,1984,22,m,Argentina,39596,55.56116779472674
77,1984,20,m,Argentina,35342,56.589893045102144
78,1984,19,m,Argentina,31142,61.01085350972963
79,1984,17,m,Argentina,26992,62.98162418494368
80,1984,15,m,Argentina,22951,65.35662934076946
81,1984,13,m,Argentina,19096,68.07708420611647
82,1984,12,m,Argentina,15553,77.15553269465698
83,1984,11,m,Argentina,12423,88.54543990984465
84,1984,10,m,Argentina,9754,102.5220422390814
85,1984,10,m,Argentina,7517,133.03179459890913
86,1984,9,m,Argentina,5697,157.9778830963665
87,1984,7,m,Argentina,4263,164.20361247947454
88,1984,4,m,Argentina,3142,127.30744748567791
89,1984,1,m,Argentina,2267,44.11116012351125
90,1984,0,m,Argentina,1598,0
0,1985,0,m,Argentina,341397,0
1,1985,0,m,Argentina,339090,0
2,1985,0,m,Argentina,338205,0
3,1985,0,m,Argentina,338843,0
4,1985,0,m,Argentina,339344,0
5,1985,0,m,Argentina,339188,0
6,1985,0,m,Argentina,337573,0
7,1985,0,m,Argentina,333442,0
8,1985,0,m,Argentina,325726,0
9,1985,0,m,Argentina,315771,0
10,1985,1,m,Argentina,305856,0.32695124503034106
11,1985,1,m,Argentina,295331,0.33860312666127157
12,1985,2,m,Argentina,284838,0.7021535047992192
13,1985,3,m,Argentina,275981,1.0870313536076759
14,1985,4,m,Argentina,267442,1.4956513935731859
15,1985,6,m,Argentina,259702,2.310340313128124
16,1985,8,m,Argentina,253057,3.161343096614597
17,1985,11,m,Argentina,246719,4.458513531588569
18,1985,14,m,Argentina,241535,5.796261411389653
19,1985,17,m,Argentina,239104,7.10987687366167
20,1985,20,m,Argentina,239950,8.335069806209628
21,1985,22,m,Argentina,240666,9.141299560386594
22,1985,23,m,Argentina,239552,9.601255677264227
23,1985,23,m,Argentina,237145,9.69870754179932
24,1985,23,m,Argentina,234902,9.791317230164069
25,1985,22,m,Argentina,233212,9.433476836526422
26,1985,20,m,Argentina,229506,8.714369123247323
27,1985,19,m,Argentina,227026,8.369085479196215
28,1985,18,m,Argentina,226447,7.948879870344937
29,1985,18,m,Argentina,224268,8.026111616458879
30,1985,17,m,Argentina,221625,7.670614777213762
31,1985,17,m,Argentina,219319,7.751266420145997
32,1985,17,m,Argentina,216768,7.842485975789785
33,1985,18,m,Argentina,213517,8.430242088451973
34,1985,18,m,Argentina,209721,8.582831476103967
35,1985,18,m,Argentina,205429,8.762151400240473
36,1985,19,m,Argentina,202173,9.397891904458064
37,1985,19,m,Argentina,198981,9.548650373653766
38,1985,20,m,Argentina,193834,10.318107246406719
39,1985,20,m,Argentina,188084,10.63354671317071
40,1985,21,m,Argentina,182534,11.50470597258593
41,1985,21,m,Argentina,177213,11.850146433952363
42,1985,21,m,Argentina,172181,12.19646767064891
43,1985,22,m,Argentina,167427,13.140055068776244
44,1985,22,m,Argentina,162945,13.501488232225597
45,1985,22,m,Argentina,158762,13.857220241619531
46,1985,22,m,Argentina,154886,14.20399519646708
47,1985,23,m,Argentina,151715,15.16000395478364
48,1985,23,m,Argentina,149443,15.390483328091648
49,1985,23,m,Argentina,147594,15.583289293602721
50,1985,24,m,Argentina,145603,16.483176857619693
51,1985,24,m,Argentina,143512,16.72334020848431
52,1985,25,m,Argentina,141499,17.66796938494265
53,1985,25,m,Argentina,139398,17.934260175899222
54,1985,25,m,Argentina,137169,18.22569239405405
55,1985,26,m,Argentina,134903,19.27310734379517
56,1985,26,m,Argentina,132635,19.60266897877634
57,1985,27,m,Argentina,129794.99999999999,20.802033976655498
58,1985,27,m,Argentina,125982,21.43163309044149
59,1985,27,m,Argentina,121532,22.216370996939077
60,1985,27,m,Argentina,117023,23.072387479384396
61,1985,28,m,Argentina,112516,24.88534963916243
62,1985,28,m,Argentina,107620,26.017468871956886
63,1985,28,m,Argentina,102385,27.34775601894809
64,1985,28,m,Argentina,97128,28.827938390577383
65,1985,28,m,Argentina,92028,30.425522667014388
66,1985,28,m,Argentina,86896,32.22242680905911
67,1985,27,m,Argentina,82110,32.88271830471319
68,1985,27,m,Argentina,78032,34.601189255689974
69,1985,27,m,Argentina,74073,36.450528532663725
70,1985,27,m,Argentina,69583,38.80258109020882
71,1985,26,m,Argentina,64757.00000000001,40.1500996031317
72,1985,26,m,Argentina,59815,43.467357686199115
73,1985,25,m,Argentina,54666,45.73226502762229
74,1985,24,m,Argentina,49570,48.416380875529555
75,1985,23,m,Argentina,44764,51.380573675274775
76,1985,22,m,Argentina,40264,54.63938009139678
77,1985,20,m,Argentina,35932,55.66069241901369
78,1985,19,m,Argentina,31709,59.919896559336465
79,1985,17,m,Argentina,27553,61.6992704968606
80,1985,16,m,Argentina,23491,68.11119152015665
81,1985,14,m,Argentina,19657,71.22144783028946
82,1985,13,m,Argentina,16128,80.60515873015873
83,1985,12,m,Argentina,12949,92.67124874507684
84,1985,11,m,Argentina,10191,107.93837699931312
85,1985,11,m,Argentina,7880,139.59390862944161
86,1985,10,m,Argentina,5975,167.36401673640168
87,1985,8,m,Argentina,4450,179.77528089887642
88,1985,5,m,Argentina,3269,152.95197308045275
89,1985,1,m,Argentina,2361,42.35493434985176
90,1985,0,m,Argentina,1667,0
0,1986,0,m,Argentina,342872,0
1,1986,0,m,Argentina,339870,0
2,1986,0,m,Argentina,338803,0
3,1986,0,m,Argentina,338013,0
4,1986,0,m,Argentina,338711,0
5,1986,0,m,Argentina,339253,0
6,1986,0,m,Argentina,339120,0
7,1986,0,m,Argentina,337517,0
8,1986,0,m,Argentina,333392,0
9,1986,0,m,Argentina,325674,0
10,1986,1,m,Argentina,315716,0.31674036159079677
11,1986,1,m,Argentina,305799,0.32701218774423724
12,1986,2,m,Argentina,295280,0.6773232186399349
13,1986,3,m,Argentina,284807,1.053344896719533
14,1986,4,m,Argentina,275986,1.4493488800156529
15,1986,6,m,Argentina,267502,2.242973884307407
16,1986,9,m,Argentina,259829,3.4638165870630298
17,1986,11,m,Argentina,253259,4.3433797022020935
18,1986,15,m,Argentina,246999,6.072899080563079
19,1986,18,m,Argentina,241887,7.44149127485148
20,1986,21,m,Argentina,239518,8.767608279962257
21,1986,23,m,Argentina,240408,9.567069315496989
22,1986,24,m,Argentina,241152,9.952229299363058
23,1986,24,m,Argentina,240052,9.997833802676087
24,1986,23,m,Argentina,237644,9.678342394506068
25,1986,22,m,Argentina,235386,9.346350250227287
26,1986,21,m,Argentina,233666,8.987186839334777
27,1986,20,m,Argentina,229923,8.69856430196196
28,1986,19,m,Argentina,227400,8.355321020228672
29,1986,18,m,Argentina,226767,7.9376628874571695
30,1986,18,m,Argentina,224534,8.01660327611854
31,1986,18,m,Argentina,221835,8.114138887010617
32,1986,18,m,Argentina,219470,8.201576525265413
33,1986,18,m,Argentina,216861,8.300247624054117
34,1986,19,m,Argentina,213548,8.89729709479836
35,1986,19,m,Argentina,209690,9.06099480185035
36,1986,19,m,Argentina,205336,9.253126582771653
37,1986,20,m,Argentina,202012,9.900401956319426
38,1986,20,m,Argentina,198747,10.063044976779524
39,1986,21,m,Argentina,193533,10.850862643580165
40,1986,21,m,Argentina,187713,11.187291237154593
41,1986,21,m,Argentina,182091,11.532695190866106
42,1986,22,m,Argentina,176700,12.45048104131296
43,1986,22,m,Argentina,171595,12.820886389463562
44,1986,22,m,Argentina,166768,13.191979276599827
45,1986,22,m,Argentina,162210,13.56266568029098
46,1986,23,m,Argentina,157948,14.5617545014815
47,1986,23,m,Argentina,153990,14.93603480745503
48,1986,23,m,Argentina,150725,15.25957870293581
49,1986,23,m,Argentina,148345,15.504398530452661
50,1986,24,m,Argentina,146379,16.39579447871621
51,1986,24,m,Argentina,144267,16.635821081744265
52,1986,25,m,Argentina,142054,17.59894124769454
53,1986,25,m,Argentina,139919,17.867480470843844
54,1986,25,m,Argentina,137695,18.15606957405861
55,1986,26,m,Argentina,135345,19.210166611252724
56,1986,26,m,Argentina,132951,19.556077050943582
57,1986,26,m,Argentina,130539.99999999999,19.91726673816455
58,1986,27,m,Argentina,127550,21.168169345354762
59,1986,27,m,Argentina,123589,21.846604471271714
60,1986,27,m,Argentina,118996,22.689838313892903
61,1986,27,m,Argentina,114347,23.612337883809808
62,1986,27,m,Argentina,109716,24.60899048452368
63,1986,27,m,Argentina,104730,25.780578630764825
64,1986,28,m,Argentina,99438,28.15824936141113
65,1986,28,m,Argentina,94144,29.74167233174711
66,1986,28,m,Argentina,89005,31.458906802988597
67,1986,28,m,Argentina,83823,33.40371974279136
68,1986,27,m,Argentina,78954,34.19712744129493
69,1986,27,m,Argentina,74738,36.12620086167679
70,1986,27,m,Argentina,70617,38.23441947406432
71,1986,26,m,Argentina,65990,39.3999090771329
72,1986,26,m,Argentina,61071,42.57339817589363
73,1986,25,m,Argentina,56087,44.57360885766755
74,1986,24,m,Argentina,50958,47.09760979630284
75,1986,23,m,Argentina,45900,50.108932461873636
76,1986,21,m,Argentina,41154,51.02784662487243
77,1986,20,m,Argentina,36697,54.50036787748317
78,1986,19,m,Argentina,32396,58.64921595258674
79,1986,17,m,Argentina,28212,60.258046221466046
80,1986,16,m,Argentina,24136,66.29101756711965
81,1986,14,m,Argentina,20270,69.06758756783424
82,1986,13,m,Argentina,16738,77.66758274584777
83,1986,13,m,Argentina,13547,95.96220565438843
84,1986,12,m,Argentina,10727,111.86725086231006
85,1986,12,m,Argentina,8321,144.21343588510996
86,1986,12,m,Argentina,6335,189.42383583267562
87,1986,9,m,Argentina,4726,190.43588658484975
88,1986,5,m,Argentina,3459,144.55044810638913
89,1986,2,m,Argentina,2494,80.1924619085806
90,1986,0,m,Argentina,1765,0
0,1987,0,m,Argentina,345957,0
1,1987,0,m,Argentina,341408,0
2,1987,0,m,Argentina,339584,0
3,1987,0,m,Argentina,338612,0
4,1987,0,m,Argentina,337884,0
5,1987,0,m,Argentina,338622,0
6,1987,0,m,Argentina,339188,0
7,1987,0,m,Argentina,339065,0
8,1987,0,m,Argentina,337466,0
9,1987,1,m,Argentina,333337,0.2999967000362996
10,1987,1,m,Argentina,325615,0.30711115888395807
11,1987,2,m,Argentina,315654,0.6336051499426587
12,1987,3,m,Argentina,305742,0.9812194595443217
13,1987,4,m,Argentina,295240,1.3548299688389107
14,1987,5,m,Argentina,284798,1.755630306392601
15,1987,7,m,Argentina,276025,2.536002173716149
16,1987,9,m,Argentina,267601,3.363216131479329
17,1987,12,m,Argentina,259995,4.615473374487971
18,1987,15,m,Argentina,253494,5.917299817747166
19,1987,18,m,Argentina,247300,7.278608976951071
20,1987,21,m,Argentina,242246,8.668873789453697
21,1987,23,m,Argentina,239921,9.58648888592495
22,1987,24,m,Argentina,240837,9.965246203864025
23,1987,24,m,Argentina,241591,9.934144897781788
24,1987,23,m,Argentina,240488,9.563886763580719
25,1987,22,m,Argentina,238066,9.241134811354835
26,1987,21,m,Argentina,235782,8.906532305265033
27,1987,20,m,Argentina,234026,8.546058984899114
28,1987,19,m,Argentina,230246,8.252043466553165
29,1987,19,m,Argentina,227677,8.345155637152633
30,1987,18,m,Argentina,226992,7.929794882639036
31,1987,19,m,Argentina,224706,8.45549295523929
32,1987,19,m,Argentina,221953,8.560370889332427
33,1987,19,m,Argentina,219532,8.654774702549059
34,1987,19,m,Argentina,216864,8.761251291131769
35,1987,20,m,Argentina,213493,9.36798864599776
36,1987,20,m,Argentina,209576,9.543077451616597
37,1987,21,m,Argentina,205159,10.235963326005683
38,1987,21,m,Argentina,201767,10.408044923104374
39,1987,21,m,Argentina,198430,10.583077155672026
40,1987,21,m,Argentina,193145,10.872660436459654
41,1987,22,m,Argentina,187256,11.748622207032085
