year,age,sex,d
1997,0,1,0
1997,5,1,0
1997,10,1,19.27
1997,15,1,117.75
1997,20,1,145.01
1997,25,1,116.25
1997,30,1,100.94
1997,35,1,116.42
1997,40,1,122.33
1997,45,1,129.59
1997,50,1,137.5
1997,55,1,114.09
1997,60,1,107.26
1997,65,1,129.65
1997,70,1,105.29
1997,75,1,101.43
1997,80,1,60.86
1997,85,1,34.49
1998,0,1,0
1998,5,1,0
1998,10,1,16.08
1998,15,1,143.71
1998,20,1,179.89
1998,25,1,143.71
1998,30,1,104.52
1998,35,1,107.53
1998,40,1,110.55
1998,45,1,139.69
1998,50,1,147.73
1998,55,1,109.54
1998,60,1,147.73
1998,65,1,132.66
1998,70,1,126.63
1998,75,1,98.49
1998,80,1,60.3
1998,85,1,42.2
1999,0,1,0
1999,5,1,0
1999,10,1,21.08
1999,15,1,152.56
1999,20,1,199.73
1999,25,1,154.56
1999,30,1,110.4
1999,35,1,117.43
1999,40,1,154.56
1999,45,1,116.42
1999,50,1,151.55
1999,55,1,141.52
1999,60,1,150.55
1999,65,1,132.48
1999,70,1,111.41
1999,75,1,99.36
1999,80,1,61.22
1999,85,1,44.16
2000,0,1,0
2000,5,1,0
2000,10,1,18.06
2000,15,1,183.66
2000,20,1,281.01
2000,25,1,204.31
2000,30,1,128.46
2000,35,1,127.46
2000,40,1,126.45
2000,45,1,157.56
2000,50,1,168.6
2000,55,1,166.6
2000,60,1,176.99
2000,65,1,138.54
2000,70,1,122.44
2000,75,1,100.36
2000,80,1,67.24
2000,85,1,65.4
2001,0,1,0
2001,5,1,0
2001,10,1,29.12
2001,15,1,205.84
2001,20,1,310.27
2001,25,1,199.82
2001,30,1,170.7
2001,35,1,157.65
2001,40,1,147.38
2001,45,1,155.64
2001,50,1,161.66
2001,55,1,179.74
2001,60,1,172.71
2001,65,1,149.72
2001,70,1,151.62
2001,75,1,119.49
2001,80,1,72.3
2001,85,1,57.24
2002,0,1,0
2002,5,1,0
2002,10,1,37.09
2002,15,1,206.51
2002,20,1,332.82
2002,25,1,247.61
2002,30,1,166.63
2002,35,1,135.33
2002,40,1,167.41
2002,45,1,147.36
2002,50,1,163.4
2002,55,1,178.44
2002,60,1,161.4
2002,65,1,152.66
2002,70,1,120.3
2002,75,1,128.31
2002,80,1,69.17
2002,85,1,37.09
2003,0,1,0
